,index,query_id,query_res,relevant,precision,recall
0,0,1,2319,False,0.0,0.0
1,1,1,1938,False,0.0,0.0
2,2,1,1410,True,0.3333333333333333,0.2
3,3,1,1519,False,0.25,0.2
4,4,1,2629,False,0.2,0.2
5,5,1,1161,False,0.16666666666666666,0.2
6,6,1,1605,True,0.2857142857142857,0.4
7,7,1,1657,False,0.25,0.4
8,8,1,2371,False,0.2222222222222222,0.4
9,9,1,2424,False,0.2,0.4
10,10,1,1523,False,0.18181818181818182,0.4
11,11,1,1071,False,0.16666666666666666,0.4
12,12,1,2218,False,0.15384615384615385,0.4
13,13,1,1168,False,0.14285714285714285,0.4
14,14,1,1752,False,0.13333333333333333,0.4
15,15,1,971,False,0.125,0.4
16,16,1,2379,False,0.11764705882352941,0.4
17,17,1,1844,False,0.1111111111111111,0.4
18,18,1,3127,False,0.10526315789473684,0.4
19,19,1,1908,False,0.1,0.4
20,20,1,1440,False,0.09523809523809523,0.4
21,21,1,1827,False,0.09090909090909091,0.4
22,22,1,2380,False,0.08695652173913043,0.4
23,23,1,1591,False,0.08333333333333333,0.4
24,24,1,1572,True,0.12,0.6
25,25,1,3048,False,0.11538461538461539,0.6
26,26,1,2344,False,0.1111111111111111,0.6
27,27,1,2439,False,0.10714285714285714,0.6
28,28,1,1680,False,0.10344827586206896,0.6
29,29,1,2219,False,0.1,0.6
30,30,1,1391,False,0.0967741935483871,0.6
31,31,1,1698,False,0.09375,0.6
32,32,1,1462,False,0.09090909090909091,0.6
33,33,1,2740,False,0.08823529411764706,0.6
34,34,1,2317,False,0.08571428571428572,0.6
35,35,1,1315,False,0.08333333333333333,0.6
36,36,1,3069,False,0.08108108108108109,0.6
37,37,1,1464,False,0.07894736842105263,0.6
38,38,1,1544,False,0.07692307692307693,0.6
39,39,1,3025,False,0.075,0.6
40,40,1,1755,False,0.07317073170731707,0.6
41,41,1,2796,False,0.07142857142857142,0.6
42,42,1,2948,False,0.06976744186046512,0.6
43,43,1,2541,False,0.06818181818181818,0.6
44,44,1,3174,False,0.06666666666666667,0.6
45,45,1,2632,False,0.06521739130434782,0.6
46,46,1,3023,False,0.06382978723404255,0.6
47,47,1,1033,False,0.0625,0.6
48,48,1,3068,False,0.061224489795918366,0.6
49,49,1,2500,False,0.06,0.6
50,50,1,2378,False,0.058823529411764705,0.6
51,51,1,98,False,0.057692307692307696,0.6
52,52,1,1647,False,0.05660377358490566,0.6
53,53,1,2867,False,0.05555555555555555,0.6
54,54,1,1069,False,0.05454545454545454,0.6
55,55,1,1046,False,0.05357142857142857,0.6
56,56,1,1753,False,0.05263157894736842,0.6
57,57,1,1712,False,0.05172413793103448,0.6
58,58,1,2312,False,0.05084745762711865,0.6
59,59,1,2151,False,0.05,0.6
60,60,1,2917,False,0.04918032786885246,0.6
61,61,1,1685,False,0.04838709677419355,0.6
62,62,1,1506,False,0.047619047619047616,0.6
63,63,1,1264,False,0.046875,0.6
64,64,1,2947,False,0.046153846153846156,0.6
65,65,1,3112,False,0.045454545454545456,0.6
66,66,1,414,False,0.04477611940298507,0.6
67,67,1,1163,False,0.04411764705882353,0.6
68,68,1,1960,False,0.043478260869565216,0.6
69,69,1,1225,False,0.04285714285714286,0.6
70,70,1,1179,False,0.04225352112676056,0.6
71,71,1,1236,False,0.041666666666666664,0.6
72,72,1,2951,False,0.0410958904109589,0.6
73,73,1,2501,False,0.04054054054054054,0.6
74,74,1,1542,False,0.04,0.6
75,75,1,1393,False,0.039473684210526314,0.6
76,76,1,698,False,0.03896103896103896,0.6
77,77,1,1854,False,0.038461538461538464,0.6
78,78,1,2092,False,0.0379746835443038,0.6
79,79,1,2920,False,0.0375,0.6
80,80,1,2868,False,0.037037037037037035,0.6
81,81,1,1304,False,0.036585365853658534,0.6
82,82,1,1697,False,0.03614457831325301,0.6
83,83,1,2054,False,0.03571428571428571,0.6
84,84,1,585,False,0.03529411764705882,0.6
85,85,1,637,False,0.03488372093023256,0.6
86,86,1,2080,False,0.034482758620689655,0.6
87,87,1,2681,False,0.03409090909090909,0.6
88,88,1,252,False,0.033707865168539325,0.6
89,89,1,1885,False,0.03333333333333333,0.6
90,90,1,1195,False,0.03296703296703297,0.6
91,91,1,1534,False,0.03260869565217391,0.6
92,92,1,2764,False,0.03225806451612903,0.6
93,93,1,2372,False,0.031914893617021274,0.6
94,94,1,1487,False,0.031578947368421054,0.6
95,95,1,2557,False,0.03125,0.6
96,96,1,1280,False,0.030927835051546393,0.6
97,97,1,2535,False,0.030612244897959183,0.6
98,98,1,1769,False,0.030303030303030304,0.6
99,99,1,1341,False,0.03,0.6
100,100,1,2522,False,0.0297029702970297,0.6
101,101,1,1226,False,0.029411764705882353,0.6
102,102,1,2390,False,0.02912621359223301,0.6
103,103,1,2357,False,0.028846153846153848,0.6
104,104,1,1590,False,0.02857142857142857,0.6
105,105,1,2950,False,0.02830188679245283,0.6
106,106,1,271,False,0.028037383177570093,0.6
107,107,1,438,False,0.027777777777777776,0.6
108,108,1,2365,False,0.027522935779816515,0.6
109,109,1,1472,False,0.02727272727272727,0.6
110,110,1,2536,False,0.02702702702702703,0.6
111,111,1,2597,False,0.026785714285714284,0.6
112,112,1,2358,True,0.035398230088495575,0.8
113,113,1,2989,False,0.03508771929824561,0.8
114,114,1,1515,False,0.034782608695652174,0.8
115,115,1,3065,False,0.034482758620689655,0.8
116,116,1,2313,False,0.03418803418803419,0.8
117,117,1,1417,False,0.03389830508474576,0.8
118,118,1,2095,False,0.03361344537815126,0.8
119,119,1,3190,False,0.03333333333333333,0.8
120,120,1,1247,False,0.03305785123966942,0.8
121,121,1,1408,False,0.03278688524590164,0.8
122,122,1,1518,False,0.032520325203252036,0.8
123,123,1,2841,False,0.03225806451612903,0.8
124,124,1,1828,False,0.032,0.8
125,125,1,46,False,0.031746031746031744,0.8
126,126,1,1767,False,0.031496062992125984,0.8
127,127,1,3082,False,0.03125,0.8
128,128,1,2370,False,0.031007751937984496,0.8
129,129,1,617,False,0.03076923076923077,0.8
130,130,1,3089,False,0.030534351145038167,0.8
131,131,1,3137,False,0.030303030303030304,0.8
132,132,1,696,False,0.03007518796992481,0.8
133,133,1,2003,False,0.029850746268656716,0.8
134,134,1,2526,False,0.02962962962962963,0.8
135,135,1,2519,False,0.029411764705882353,0.8
136,136,1,1173,False,0.029197080291970802,0.8
137,137,1,1571,False,0.028985507246376812,0.8
138,138,1,2036,False,0.02877697841726619,0.8
139,139,1,2984,False,0.02857142857142857,0.8
140,140,1,1526,False,0.028368794326241134,0.8
141,141,1,1626,False,0.028169014084507043,0.8
142,142,1,2321,False,0.027972027972027972,0.8
143,143,1,1642,False,0.027777777777777776,0.8
144,144,1,1719,False,0.027586206896551724,0.8
145,145,1,2626,False,0.0273972602739726,0.8
146,146,1,1347,False,0.027210884353741496,0.8
147,147,1,1034,False,0.02702702702702703,0.8
148,148,1,1677,False,0.026845637583892617,0.8
149,149,1,202,False,0.02666666666666667,0.8
150,150,1,2560,False,0.026490066225165563,0.8
151,151,1,2542,False,0.02631578947368421,0.8
152,152,1,2201,False,0.026143790849673203,0.8
153,153,1,2128,False,0.025974025974025976,0.8
154,154,1,2537,False,0.025806451612903226,0.8
155,155,1,2622,False,0.02564102564102564,0.8
156,156,1,103,False,0.025477707006369428,0.8
157,157,1,195,False,0.02531645569620253,0.8
158,158,1,2747,False,0.025157232704402517,0.8
159,159,1,796,False,0.025,0.8
160,160,1,2582,False,0.024844720496894408,0.8
161,161,1,3026,False,0.024691358024691357,0.8
162,162,1,1774,False,0.024539877300613498,0.8
163,163,1,2288,False,0.024390243902439025,0.8
164,164,1,2168,False,0.024242424242424242,0.8
165,165,1,699,False,0.024096385542168676,0.8
166,166,1,1902,False,0.023952095808383235,0.8
167,167,1,2247,False,0.023809523809523808,0.8
168,168,1,1459,False,0.023668639053254437,0.8
169,169,1,1164,False,0.023529411764705882,0.8
170,170,1,2083,False,0.023391812865497075,0.8
171,171,1,1877,False,0.023255813953488372,0.8
172,172,1,1749,False,0.023121387283236993,0.8
173,173,1,69,False,0.022988505747126436,0.8
174,174,1,1750,False,0.022857142857142857,0.8
175,175,1,2627,False,0.022727272727272728,0.8
176,176,1,1325,False,0.022598870056497175,0.8
177,177,1,2169,False,0.02247191011235955,0.8
178,178,1,1482,False,0.0223463687150838,0.8
179,179,1,1505,False,0.022222222222222223,0.8
180,180,1,2955,False,0.022099447513812154,0.8
181,181,1,2959,False,0.02197802197802198,0.8
182,182,1,731,False,0.02185792349726776,0.8
183,183,1,2017,False,0.021739130434782608,0.8
184,184,1,2308,False,0.021621621621621623,0.8
185,185,1,1281,False,0.021505376344086023,0.8
186,186,1,1676,False,0.0213903743315508,0.8
187,187,1,462,False,0.02127659574468085,0.8
188,188,1,2188,False,0.021164021164021163,0.8
189,189,1,3153,False,0.021052631578947368,0.8
190,190,1,2153,False,0.020942408376963352,0.8
191,191,1,1412,False,0.020833333333333332,0.8
192,192,1,1691,False,0.02072538860103627,0.8
193,193,1,2064,False,0.020618556701030927,0.8
194,194,1,2318,False,0.020512820512820513,0.8
195,195,1,2435,False,0.02040816326530612,0.8
196,196,1,3105,False,0.02030456852791878,0.8
197,197,1,972,False,0.020202020202020204,0.8
198,198,1,1332,False,0.020100502512562814,0.8
199,199,1,2249,False,0.02,0.8
200,200,1,615,False,0.01990049751243781,0.8
201,201,1,1088,False,0.019801980198019802,0.8
202,202,1,1394,False,0.019704433497536946,0.8
203,203,1,2311,False,0.0196078431372549,0.8
204,204,1,1113,False,0.01951219512195122,0.8
205,205,1,322,False,0.019417475728155338,0.8
206,206,1,671,False,0.01932367149758454,0.8
207,207,1,1484,False,0.019230769230769232,0.8
208,208,1,1962,False,0.019138755980861243,0.8
209,209,1,2893,False,0.01904761904761905,0.8
210,210,1,1441,False,0.018957345971563982,0.8
211,211,1,1699,False,0.018867924528301886,0.8
212,212,1,2065,False,0.018779342723004695,0.8
213,213,1,409,False,0.018691588785046728,0.8
214,214,1,2624,False,0.018604651162790697,0.8
215,215,1,2668,False,0.018518518518518517,0.8
216,216,1,3050,False,0.018433179723502304,0.8
217,217,1,3110,False,0.01834862385321101,0.8
218,218,1,3156,False,0.0182648401826484,0.8
219,219,1,2470,False,0.01818181818181818,0.8
220,220,1,2666,False,0.01809954751131222,0.8
221,221,1,2988,False,0.018018018018018018,0.8
222,222,1,2452,False,0.017937219730941704,0.8
223,223,1,1665,False,0.017857142857142856,0.8
224,224,1,3002,False,0.017777777777777778,0.8
225,225,1,1937,False,0.017699115044247787,0.8
226,226,1,2105,False,0.01762114537444934,0.8
227,227,1,3179,False,0.017543859649122806,0.8
228,228,1,2667,False,0.017467248908296942,0.8
229,229,1,3087,False,0.017391304347826087,0.8
230,230,1,197,False,0.017316017316017316,0.8
231,231,1,294,False,0.017241379310344827,0.8
232,232,1,398,False,0.017167381974248927,0.8
233,233,1,2087,False,0.017094017094017096,0.8
234,234,1,1252,False,0.01702127659574468,0.8
235,235,1,1170,False,0.01694915254237288,0.8
236,236,1,1957,False,0.016877637130801686,0.8
237,237,1,2228,False,0.01680672268907563,0.8
238,238,1,2376,False,0.016736401673640166,0.8
239,239,1,2581,False,0.016666666666666666,0.8
240,240,1,2741,False,0.016597510373443983,0.8
241,241,1,3129,False,0.01652892561983471,0.8
242,242,1,3144,False,0.01646090534979424,0.8
